shape,advection,resolution,iterations,optimized,path,measured_trials,divergence_rms,divergence_max,density_weighted_divergence_rms,residual_relative,residual_rms,divergence_before_rms,mass_error_relative,density_min,density_max,wall_velocity_max,pressure_divergence_identity_rms,cpu_gpu_divergence_disagreement_rms,median_projection_ms,median_advection_ms,median_total_ms,cost_q25_ms,cost_q75_ms,l1_to_converged_same_method,l2_to_converged_same_method,l1_to_exact_velocity_same_method,velocity_relative_to_exact,reference_4096_8192_l1,reference_exact_velocity_l1
smooth,maccormack,32,0,True,smooth-r32-maccormack-i0-rep2,18,1.4608587090201646,4.072528004646301,2.241727623529235,1.0,87.65152258743967,1.4608587097906611,0.03118313735111474,1.4381447562509224e-27,0.9787381291389465,0.0,3.736468130468113e-08,3.736468130468113e-08,0.005216,0.005888,0.011104,0.011071999999999999,0.0114,0.03217476304736487,0.02550327692944124,0.03217476304736487,0.583333256863287,0.0,0.0
smooth,maccormack,32,8,True,smooth-r32-maccormack-i8-rep2,18,1.3113347652075975,3.9194872975349426,2.02207721443501,0.8976465448819264,78.68008640425535,1.4608587097906611,0.028070509973562165,1.3724608192010985e-27,0.9787381291389465,0.0,3.04998149058016e-07,3.811607721282236e-08,0.021488,0.006095999999999999,0.027552,0.027488,0.027808,0.02896938176220029,0.022956158234537234,0.02896938176220029,0.5222718914184548,0.0,0.0
smooth,maccormack,32,32,True,smooth-r32-maccormack-i32-rep2,18,0.9443350003472176,2.6958251762608825,1.4840818295330442,0.6464246138009334,56.66010163764948,1.4608587097906611,0.020545766082237276,1.3067768821512746e-27,0.9787381291389465,0.0,2.9910974992988603e-07,2.7222717199218395e-08,0.070976,0.005823999999999999,0.07678399999999999,0.07672,0.077,0.021214620025214164,0.016851926582828452,0.021214620025214164,0.37547583099685317,0.0,0.0
smooth,maccormack,32,128,True,smooth-r32-maccormack-i128-rep2,18,0.2534607539587668,0.7800051180740866,0.4282213357895252,0.1735012533262491,15.207649024874815,1.4608587097906611,0.005802041368985552,1.2410929451014507e-27,0.9787381291389465,0.0,3.2094875824712257e-07,4.055086701350569e-09,0.267296,0.006176,0.27343999999999996,0.272976,0.273728,0.006021245742335341,0.004851969965354494,0.006021245742335341,0.10072762631335233,0.0,0.0
smooth,maccormack,32,512,True,smooth-r32-maccormack-i512-rep2,18,0.0014952825884897466,0.006455289500991057,0.0037230104680356845,0.0010236103725271858,0.08972100768830417,1.4608587097906611,5.015558482136485e-06,1.2410929451014507e-27,0.9787381291389465,0.0,3.2935525253175475e-07,3.3825952103535753e-09,1.053888,0.00592,1.05984,1.05964,1.0600159999999998,5.300669784910436e-05,0.0003452517622677668,5.300669784910436e-05,0.0006244220412111306,0.0,0.0
smooth,maccormack,32,2048,True,smooth-r32-maccormack-i2048-rep2,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,4.197552,0.006144,4.203679999999999,4.203496,4.203951999999999,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,maccormack,32,4096,True,smooth-r32-maccormack-i4096-rep2,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,8.389392,0.006144,8.395568,8.395296,8.395944,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,maccormack,32,8192,True,smooth-r32-maccormack-i8192-rep2,18,5.144207057605345e-06,3.8504600524902344e-05,5.992753349330303e-06,3.487838183929009e-06,0.0003057143273599881,1.4608587097906611,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,3.3254748075040016e-07,3.253646818883928e-09,16.774192,0.006016,16.780127999999998,16.779912,16.780759999999997,0.0,0.0,0.0,1.54322178652503e-06,0.0,0.0
smooth,maccormack,32,-1,True,smooth-r32-maccormack-i-1-rep3,18,4.624705805853064e-08,4.76837158203125e-07,2.7109008491033644e-09,1.0,2.780524336835309e-06,4.634207228058848e-08,-4.2097440715110565e-05,1.2410929451014507e-27,0.9787381291389465,0.0,1.1807693386858325e-09,1.1807693386858325e-09,0.003296,0.0059039999999999995,0.009248,0.00912,0.00928,0.0,0.0,0.0,0.0,0.0,0.0
smooth,maccormack,32,0,True,smooth-r32-maccormack-i0-rep3,18,1.4608587090201646,4.072528004646301,2.241727623529235,1.0,87.65152258743967,1.4608587097906611,0.03118313735111474,1.4381447562509224e-27,0.9787381291389465,0.0,3.736468130468113e-08,3.736468130468113e-08,0.005248,0.00592,0.011184,0.011104,0.011344,0.03217476304736487,0.02550327692944124,0.03217476304736487,0.583333256863287,0.0,0.0
